,Exclusion Code,D,G,Galaxy ID,m-M,err,D (Mpc),Method,REFCODE,SN ID,redshift (z),Hubble const.,Adopted LMC modulus,Date (Yr. - 1980),Notes
188942,,142932,63100,NGC 3720,35.48,,125.0,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
188943,,142933,63100,NGC 3720,35.78,,143.0,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
189073,,143063,63209,UGC 06527 NOTES02,35.84,,147.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
189074,,143064,63209,UGC 06527 NOTES02,35.86,,148.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
189075,,143065,63209,UGC 06527 NOTES02,35.87,,149.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
189076,,143066,63209,UGC 06527 NOTES02,35.87,,149.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
189491,,143480,63478,2MASX J11335011+1449313,32.31,,29.0,Tully-Fisher,2015AstBu..70....1K,,,,,35,
189641,,143630,63611,IC 2934,30.23,,11.1,Tully-Fisher,2015AstBu..70....1K,,,,,35,
189809,,143796,63744,SDSS J113453.11+110116.2,29.35,,7.4,Tully-Fisher,2015AstBu..70....1K,,,,,35,
189937,,143924,63850,SDSS J113518.39+045717.3,31.53,,20.2,Tully-Fisher,2015AstBu..70....1K,,,,,35,
190597,,144584,64335,SDSS J113708.79+131504.9,30.85,,14.8,Tully-Fisher,2015AstBu..70....1K,,,,,35,
191006,,144970,64613,NGC 3773,31.16,,17.1,Tully-Fisher,2015AstBu..70....1K,,,,,35,
191927,,145881,65332,SDSS J114056.74+140427.1,32.74,,35.3,Tully-Fisher,2015AstBu..70....1K,,,,,35,
192445,,146396,65723,UGC 06664,34.88,,94.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
192446,,146397,65723,UGC 06664,34.89,,94.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
192447,,146398,65723,UGC 06664,34.89,,95.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
192448,,146399,65723,UGC 06664,34.91,,96.1,Tully-Fisher,2000BSAO...50....5K,,,,,20,
192451,,146402,65726,UGC 06669,31.52,,20.1,Tully-Fisher,2015AstBu..70....1K,,,,,35,
192770,,146721,65979,KDG 079,31.36,,18.7,Tully-Fisher,2015AstBu..70....1K,,,,,35,
192880,,146831,66062,SDSS J114326.98+112354.3,31.54,,20.3,Tully-Fisher,2015AstBu..70....1K,,,,,35,
193940,,147881,66844,FGC 1303,33.57,,51.7,Tully-Fisher,2000BSAO...50....5K,,,,,20,
193941,,147882,66844,FGC 1303,33.6,,52.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
193942,,147883,66844,FGC 1303,33.6,,52.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
193943,,147884,66844,FGC 1303,33.63,,53.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
194697,,148636,67492,UGC 06776,32.39,,30.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
194698,,148637,67492,UGC 06776,32.41,,30.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
194699,,148638,67492,UGC 06776,32.42,,30.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
194700,,148639,67492,UGC 06776,32.5,,31.7,Tully-Fisher,2000BSAO...50....5K,,,,,20,
195317,,149252,67949,FGC 1316,36.16,,171.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
195318,,149253,67949,FGC 1316,36.18,,172.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
195319,,149254,67949,FGC 1316,36.19,,173.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
195320,,149255,67949,FGC 1316,36.22,,176.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
195924,,149849,68394,CGCG 068-079,31.31,,18.3,Tully-Fisher,2015AstBu..70....1K,,,,,35,
