,objname,j2000,meas,H (Mpc),D (Mpc),P (Mpc),Q (Mpc),M (Mpc),Dmin (Mpc),Dmax (Mpc)
2031,UGC03757                      ,J071507.7+484456,2,7.865727110337746,107.84352400771681,17.097175205593548,18.403680319822765,16.255319819612286,98.23138866707376,116.62353466857358
2032,UGC03763                      ,J071459.0+344852,2,9.440893493849524,126.60249894907233,19.888246466442613,20.67761074021976,18.970557006502673,115.57478861586614,136.959644419257
2033,UGC03770                      ,J071529.7+232534,8,13.516950436254952,90.9157746772842,0.9897503318920399,6.27836724765217,7.812740455882602,72.02221377845473,98.74844658320629
2034,UGC03776                      ,J071638.9+335916,2,3.117473866110951,43.375158674592114,6.824001542153924,6.835041390086956,6.4400052074144405,39.51705027361138,46.86786128870033
2035,UGC03777                      ,J071642.9+295118,2,2.6511426707625705,36.38471816247913,5.728476242584875,5.737743753181908,5.533438410554062,33.12484585840784,39.399352804353136
2036,UGC03783                      ,J071753.3+244522,2,7.544470448022561,103.34835485537049,16.30796505034901,16.30796505034901,15.497463669630177,94.59240881480349,111.76135781554916
2037,UGC03787                      ,J071757.6+094122,3,21.85275194798126,131.91076834615197,3.986772694719115,31.565935964604623,26.650052219165698,108.81979223139108,152.55589811801696
2038,UGC03789                      ,J071930.9+592118,2,1.891260859543737,50.35417450271985,3.9360643765713013,3.942200100290509,3.8431775149077287,48.18400373081004,52.504152186250266
2039,UGC03804                      ,J072234.6+713556,2,3.0955484584384783,41.569346686401964,6.541516792124335,6.583746106477854,6.290850169920284,37.91217261964209,44.96042353273581
2040,UGC03820                      ,J072220.0+171713,3,4.640606883350944,38.315358273679884,4.621709723205761,5.361907232061303,5.652656252924548,34.007770756988705,43.78061732836181
2041,UGC03845                      ,J072642.7+470538,8,7.751783556593787,46.35905663019445,0.67435352630609,4.393264538743249,4.995631321259215,35.50496330625019,51.05137203276441
2042,UGC03860                      ,J072817.6+404612,2,0.3070856823136238,10.682731038415863,0.3262663095163675,0.3832514058048682,0.4048533557913844,10.43732437598722,10.886775755706799
2043,UGC03876                      ,J072917.5+275401,2,2.8318583148958703,28.336778296488994,3.8695505469077016,8.406877960995914,4.616617183137217,25.1967851842801,31.338464260844187
2044,UGC03879                      ,J072943.9+334124,2,4.221708526568664,58.40972859161143,9.167181661140106,9.686790398939946,8.837881928545281,53.42927906312148,63.126056396915956
2045,UGC03919                      ,J073704.8+643311,2,5.9655626381679285,49.8848018551905,7.98187073305607,19.016254686407958,9.922590410523519,43.15796646338765,56.026995848702434
2046,UGC03922                      ,J073647.1+550227,2,9.962907363606314,136.31056118440858,21.45268911977419,21.763051558610705,20.47178934426216,124.39251008598039,147.2411919830483
2047,UGC03937                      ,J073735.2+353621,2,3.208637351222951,43.004922294427594,6.813705812418993,7.139631926385348,6.539287503427368,39.16412266166398,46.57805671313428
2048,UGC03974                      ,J074155.4+164809,4,0.8078849588684021,8.114264924960542,0.05003236434964108,0.2504249275957813,0.1030558865490281,6.586789108797885,8.198282082167058
2049,UGC03979                      ,J074431.0+671625,2,4.60916790457879,63.62324000216666,10.017524834801856,10.033731154533529,9.56789438416781,58.12257954250864,68.90179840056508
2050,UGC04008                      ,J074636.8+444751,4,15.703129510689374,129.49089638292693,2.0081845803419367,15.350995536071345,10.446712093180404,116.46544760138634,147.89413928499687
2051,UGC04024                      ,J074833.2+621227,4,4.637611752072345,32.61012586771393,3.274705748518129,4.3132133268710655,4.6891495208522045,28.20516422965262,37.75276949313131
2052,UGC04032                      ,J074835.1+300916,2,8.535642729834136,120.9379905124342,19.088000063936217,19.11888056956765,18.08785959137091,110.6139892179894,130.7291267498689
2053,UGC04060                      ,J075126.2+140114,2,5.161672664816477,68.61096621994173,10.703221821034598,11.760135432316773,10.299442774835716,62.51079876387615,74.34364597806534
2054,UGC04078                      ,J080424.6+843829,3,3.786273753383049,28.137762858436428,3.439620930783101,5.357841585816917,4.518550825647998,24.44755946003022,32.35597491053444
